hours_studied,hours_slept,admitted
7.74,6.99,1
4.39,5.44,0
8.59,7.88,1
6.97,4.00,1
0.94,3.14,0
9.76,3.54,1
7.61,7.33,1
7.86,5.77,1
1.28,3.97,0
4.50,6.01,1
3.71,3.91,0
9.27,7.18,1
6.44,5.68,1
8.23,5.29,1
4.43,4.81,1
2.27,6.78,0
5.55,5.17,1
0.64,3.53,0
8.28,3.71,1
6.32,8.77,1
7.58,8.45,1
3.55,7.20,1
9.71,4.60,1
8.93,8.82,1
7.78,7.67,1
1.95,7.30,0
4.67,5.70,1
0.44,4.63,0
1.54,3.58,0
6.83,8.42,1
7.45,5.73,1
9.68,4.21,1
3.26,4.84,1
3.70,6.48,1
4.70,4.06,0
1.89,8.14,0
1.30,7.55,0
4.76,7.32,1
2.27,5.59,0
6.70,6.76,1
4.37,6.50,1
8.33,6.90,1
7.00,3.51,1
3.12,5.49,0
8.32,3.25,1
8.05,5.96,1
3.87,4.98,0
2.88,3.87,0
6.82,3.62,1
1.40,6.53,0
2.00,4.02,0
0.07,8.55,0
7.87,6.49,1
6.65,5.08,1
7.05,6.55,1
7.81,3.14,1
4.59,8.75,1
5.69,5.89,1
1.40,7.70,0
1.15,3.50,0
6.68,5.92,1
4.71,5.94,1
5.65,8.63,1
7.65,6.43,1
6.35,5.84,1
5.54,4.60,1
5.59,4.99,1
3.04,6.12,0
0.31,5.63,0
4.37,3.13,1
2.15,7.96,1
4.09,8.38,1
8.53,3.84,1
2.34,6.32,0
0.58,3.65,0
2.81,7.03,1
2.94,4.69,0
6.62,6.96,1
5.57,7.36,1
7.84,7.61,1
